@relation map

@attribute offSize numeric
@attribute defSize numeric
@attribute offValue numeric
@attribute defValue numeric
@attribute averageAltitude numeric
@attribute minAltitude numeric
@attribute maxAltitude numeric
@attribute currentAltitude numeric
@attribute fovValue numeric
@attribute lastAction {shoot,follow,explore_off,explore_def,hunt,retreat, idle}
@attribute life numeric
@attribute impactProba numeric
@attribute victory {VICTORY,DEFEAT}
@attribute touch{YES, NO}

@data
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-96470.79,-146.05103,-114.47815,-131.21802,18547.457,explore_off,12,0.42827228,DEFEAT,NO
0,0,0.0,0.0,-80322.31,-133.50558,-112.3766,-125.50545,19502.305,explore_off,8,0.0,DEFEAT,NO
0,0,0.0,0.0,-77108.55,-131.14594,-114.897316,-125.20756,19452.928,explore_off,8,0.5637265,DEFEAT,NO
0,0,0.0,0.0,-79181.766,-133.14088,-112.533,-123.543144,18537.695,explore_off,8,0.59156585,DEFEAT,NO
0,0,0.0,0.0,-89442.08,-133.13486,-113.99588,-125.91698,20341.973,explore_off,8,0.58359116,DEFEAT,NO
